Date,1926,1939,1959,1970,1979,1989,1999,2009,2019,2021
Kyrgyz,661171,754323,836831,1284773,1687382,2229663,3128147,3804788,4695646,4896182
Uzbeks,110463,151551,218640,332638,426194,550096,664950,768405,940628,985358
Russians,116436,302916,623562,855935,911703,916558,603201,419583,348935,341351
Dungans,6004,5921,11088,19837,26661,36928,51766,58409,72240,75437
Uyghurs,7540,9412,13757,24872,29817,36779,46944,48543,58168,60210
Tajiks,2667,10670,15221,21927,23209,33518,42636,46105,56219,58913
Turks,44,33,542,3076,5160,21294,33327,39133,44112,45322
Kazakhs,1766,23925,20067,21998,27442,37318,42657,33198,36022,36706
Tatars,4902,20017,56209,68827,71744,70068,45438,31424,26992,26507
Azeris,3631,7724,10428,12536,17207,15775,14014,17267,20771,21389
Koreans,9,508,3622,9404,14481,18355,19784,17299,17105,17094
Ukrainians,64128,137299,137031,120081,109324,108027,50442,21924,10600,9243
Kurds,0,1490,4783,7974,9544,14262,11620,13171,0,0
Germans,4291,11741,39915,89834,101057,101309,21471,9487,8201,8132
Chechens,1,7,25208,3391,2654,2873,2612,1875,1701,1708
Belarusians,333,1520,4613,6868,7676,9187,3208,1394,816,736
Jews,318,1895,8607,7677,6836,6005,1571,604,447,433
Others,9300,17261,35713,41157,44741,49740,50770,43300,50897,52082
Total,993004,1458213,2065837,2932805,3522832,4257755,4822938,5362793,6389500,6636803